current_franchise,year,conference,division,team,hex_color,franchise,valuation,investment,percentage,buyer,notes,valuation_2014,investment_2014,expansion,value_change_nominal,value_change_2014_dollars,hold_period,seller
Arizona Cardinals,1929,NFC,NFC West,Cardinals,#870619,Chicago Cardinals,0.0125,0.01,1,David Jones,,0.171975,0.13758,TRUE,NA,NA,NA,NFL
Arizona Cardinals,1932,NFC,NFC West,Cardinals,#870619,Chicago Cardinals,0.05,0.05,0.45,Charles Bidwell,,0.86575,0.86575,NA,0.0375,0.693775,3,David Jones
Arizona Cardinals,1972,NFC,NFC West,Cardinals,#870619,St. Louis Cardinals,14.444444,6.5,0.45,Bill Bidwell,Additional 45% to 90%,81.58221971,36.712,NA,14.394444,80.71646971,40,Charles Bidwell
Atlanta Falcons,1965,NFC,NFC South,Falcons,#BD0D18,Atlanta Falcons,8.5,8.5,1,Rankin Smith,Expansion fee,63.716,63.716,TRUE,NA,NA,NA,NFL
Atlanta Falcons,2001,NFC,NFC South,Falcons,#BD0D18,Atlanta Falcons,545,545,1,Arthur Blank,,727.03,727.03,NA,536.5,663.314,36,Rankin Smith
Atlanta Falcons,2002,NFC,NFC South,Falcons,#BD0D18,Atlanta Falcons,540,27,0.05,"Joe Gibbs, John Imlay, Jr., John A. Williams",5% Purchase,709.02,35.451,NA,-5,-18.01,1,Arthur Blank
Baltimore Ravens,1997,AFC,AFC North,Ravens,#280353,Baltimore Ravens,355.5556,32,0.09,Art Modell,Additional 9% to full 43%,523.3778432,47.104,NA,NA,NA,NA,NFL
Baltimore Ravens,1999,AFC,AFC North,Ravens,#280353,Baltimore Ravens,561.2245,275,0.49,Stephen Bisciotti,"Purchase of 49%; right to buy balance in 2004 for $325 mil.  Forbes 04 says 2000, just lists the $600 million total.",795.816341,389.95,NA,205.6689,272.4384978,2,Art Modell
Baltimore Ravens,2004,AFC,AFC North,Ravens,#280353,Baltimore Ravens,637.2549,325,0.51,Stephen Bisciotti,Additional 51% to 100% after original 49% purchase in 1999.,797.2058799,406.575,NA,76.0304,1.3895389,5,Stephen Bisciotti
Buffalo Bills,1959,AFC,AFC East,Bills,#C60C30,Buffalo Bills,0.025,0.025,1,Ralph Wilson,,0.2026,0.2026,TRUE,NA,NA,NA,AFL
Carolina Panthers,1993,NFC,NFC South,Panthers,#0088CE,Carolina Panthers,140,140,1,"Jerry Richardson, Syndicate",Expansion fee.  Forbes 04 says $206 million.,228.9,228.9,TRUE,NA,NA,NA,NFL
Chicago Bears,1920,NFC,NFC North,Bears,#DD4814,Chicago Staleys,0.0001,0.0001,1,"George Halas, Ed Sternman",Moved team from Decatur Illinois,0.0011792,0.0011792,TRUE,-0.0399,-0.3507008,-34,George Halas
Chicago Bears,1931,NFC,NFC North,Bears,#DD4814,Chicago Bears,0.08,0.04,0.5,George Halas,"Bought out old partner by generating $40,000 from six new partners; Halas nets $2,000, holds 50% of the team.",1.24272,0.62136,FALSE,NA,NA,NA,NFL
