current_franchise,year,conference,division,team,hex_color,franchise,valuation,investment,percentage,buyer,notes,valuation_2014,investment_2014,expansion,unconfirmed_value
Chicago Bears,1920,NFC,NFC North,Bears,#DD4814,Chicago Staleys,100,100,1.00,"George Halas, Ed Sternman",Moved team from Decatur Illinois,1179,1179,TRUE,NA
Green Bay Packers,1922,NFC,NFC North,Packers,#213D30,Green Bay Packers,250,250,1.00,Earl Lambeau,$250 franchise fee,3528,3528,TRUE,NA
Defunct,1923,NA,NA,Defunct,#000000,Duluth Kellys,1000,1000,1.00,"Gebert, Scanon",Expansion fee,13865,13865,TRUE,NA
Green Bay Packers,1923,NFC,NFC North,Packers,#213D30,Green Bay Packers,2500,2500,1.00,GB Football Corporation,$2500 loan/buyout,34663,34663,NA,NA
New York Giants,1925,NFC,NFC East,Giants,#192F6B,New York Giants,2500,2500,1.00,"Tim Mara, Billy Gibson",Expansion fee (may have been $500).  Forbes 04 says $500.00,33678,33678,TRUE,NA
Defunct,1926,NA,NA,Defunct,#000000,Duluth Kellys,1,1,1.00,Ole Haugsrud,"Actually, $1; renamed Duluth Eskimos",13,13,NA,NA
Defunct,1928,NA,NA,Defunct,#000000,Cleveland Indians,10000,10000,1.00,Detroit Syndicate,20 members; rename previous Detroit Panthers the Detroit Wolverines,137580,137580,NA,NA
Arizona Cardinals,1929,NFC,NFC West,Cardinals,#870619,Chicago Cardinals,12500,10000,1.00,David Jones,,171975,137580,TRUE,NA
Defunct,1929,NA,NA,Defunct,#000000,Duluth Eskimos,2000,2000,1.00,Edwin Simandl,"Moved to NJ, renamed Orange Tornadoes",27516,27516,NA,NA
Defunct,1929,NA,NA,Defunct,#000000,Minneapolis Red Jackets,2500,2500,1.00,"Johnny Dunn, Val Ness",$2500 Expansion fee,34395,34395,NA,NA
Chicago Bears,1931,NFC,NFC North,Bears,#DD4814,Chicago Bears,80000,40000,0.50,George Halas,"Bought out old partner by generating $40,000 from six new partners; Halas nets $2,000, holds 50% of the team.",1242720,621360,FALSE,NA
