year,cpi,value_2014
1800,51,13.920
1801,50,14.198
1802,43,16.509
1803,45,15.776
1804,45,15.776
1805,45,15.776
1806,47,15.104
1807,44,16.134
1808,48,14.790
1809,47,15.104
1810,47,15.104
1811,50,14.198
1812,51,13.920
1813,58,12.240
1814,63,11.268
1815,55,12.907
1816,51,13.920
1817,48,14.790
1818,46,15.433
1819,46,15.433
1820,42,16.902
1821,40,17.748
1822,40,17.748
1823,36,19.719
1824,33,21.512
1825,34,20.879
1826,34,20.879
1827,34,20.879
1828,33,21.512
1829,32,22.184
1830,32,22.184
1831,32,22.184
1832,30,23.663
1833,29,24.479
1834,30,23.663
1835,31,22.900
1836,33,21.512
1837,34,20.879
1838,32,22.184
1839,32,22.184
1840,30,23.663
1841,31,22.900
1842,29,24.479
1843,28,25.354
1844,28,25.354
1845,28,25.354
1846,27,26.293
1847,28,25.354
1848,26,27.304
1849,25,28.396
1850,25,28.396
1851,25,28.396
1852,25,28.396
1853,25,28.396
1854,27,26.293
1855,28,25.354
1856,27,26.293
1857,28,25.354
1858,26,27.304
1859,27,26.293
1860,27,26.293
1861,27,26.293
1862,30,23.663
1863,37,19.186
1864,47,15.104
1865,46,15.433
1866,44,16.134
1867,42,16.902
1868,40,17.748
1869,40,17.748
1870,38,18.682
1871,36,19.719
1872,36,19.719
1873,36,19.719
1874,34,20.879
1875,33,21.512
1876,32,22.184
1877,32,22.184
1878,29,24.479
1879,28,25.354
1880,29,24.479
1881,29,24.479
1882,29,24.479
1883,28,25.354
1884,27,26.293
1885,27,26.293
1886,27,26.293
1887,27,26.293
1888,27,26.293
1889,27,26.293
1890,27,26.293
1891,27,26.293
1892,27,26.293
1893,27,26.293
1894,26,27.304
1895,25,28.396
1896,25,28.396
1897,25,28.396
1898,25,28.396
1899,25,28.396
1900,25,28.396
1901,25,28.396
1902,26,27.304
1903,27,26.293
1904,27,26.293
1905,27,26.293
1906,27,26.293
1907,28,25.354
1908,27,26.293
1909,27,26.293
1910,28,25.354
1911,28,25.354
1912,29,24.479
1913,29.7,23.902
1914,30.1,23.585
1915,30.4,23.352
1916,32.7,21.709
1917,38.5,18.439
1918,45.2,15.706
1919,52.1,13.626
1920,60.2,11.792
1921,53.6,13.244
1922,50.3,14.113
1923,51.2,13.865
1924,51.5,13.784
1925,52.7,13.471
1926,53.2,13.344
1927,52.2,13.600
1928,51.6,13.758
1929,51.6,13.758
1930,50.2,14.141
1931,45.7,15.534
1932,41,17.315
1933,38.9,18.249
1934,40.2,17.659
1935,41.2,17.231
1936,41.7,17.024
1937,43.2,16.433
1938,42.3,16.783
1939,41.8,16.983
1940,42.1,16.862
1941,44.2,16.061
1942,49.1,14.458
1943,52,13.652
1944,52.9,13.420
1945,54.1,13.122
1946,58.6,12.114
1947,67.1,10.580
1948,72.2,9.832
1949,71.5,9.929
1950,72.3,9.819
1951,78,9.101
1952,79.8,8.896
1953,80.4,8.830
1954,80.7,8.797
1955,80.5,8.819
1956,81.7,8.689
1957,84.4,8.411
1958,86.7,8.188
1959,87.6,8.104
1960,88.9,7.985
1961,89.8,7.905
1962,90.9,7.810
1963,92,7.716
1964,93.2,7.617
1965,94.7,7.496
1966,97.5,7.281
1967,100.2,7.085
1968,104.5,6.793
1969,110.2,6.442
1970,116.7,6.083
1971,121.7,5.833
1972,125.7,5.648
1973,133.4,5.322
1974,148.2,4.790
1975,161.7,4.390
1976,171,4.151
1977,182.1,3.898
1978,196,3.622
1979,218.1,3.255
1980,247.6,2.867
1981,273.2,2.598
1982,290,2.448
1983,299.3,2.372
1984,312.2,2.274
1985,323.2,2.196
1986,329.4,2.155
1987,341.4,2.079
1988,355.4,1.997
1989,372.5,1.906
1990,392.6,1.808
1991,409.3,1.734
1992,421.7,1.683
1993,434.1,1.635
1994,445.4,1.594
1995,457.9,1.550
1996,471.3,1.506
1997,482.4,1.472
1998,489.8,1.449
1999,500.6,1.418
2000,517.5,1.372
2001,532.1,1.334
2002,540.5,1.313
2003,552.8,1.284
2004,567.6,1.251
2005,586.9,1.210
2006,605.8,1.172
2007,623.1,1.139
2008,647,1.097
2009,644.7,1.101
2010,655.3,1.083
2011,676,1.050
2012,689.9,1.029
2013,700,1.014
2014,709.9,1.000
