"","player","pos","age","bref_team_id","g","gs","mp","fg","fga","fg.","x3p","x3pa","x3p.","x2p","x2pa","x2p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","table_name","season","data_source","scrape_time"
"1","Quincy Acy","PF",24,"NYK",12,7,22.2,2.1,4.5,0.463,0,0.2,0,2.1,4.3,0.481,0.9,1.1,0.846,2.3,3.8,6,1.3,0.3,0.3,1.3,2.9,5.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"2","Jordan Adams","SG",20,"MEM",4,0,10.3,0.3,1.5,0.167,0.3,0.5,0.5,0,1,0,0.8,1,0.75,0,0.8,0.8,1.3,0.8,0.3,0.5,1,1.5,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"3","Steven Adams","C",21,"OKC",15,15,26.6,3.3,6.4,0.521,0,0.1,0,3.3,6.3,0.526,1.7,3.2,0.521,2.5,4.1,6.6,0.9,0.6,1.3,2.1,3.4,8.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"4","Arron Afflalo","SG",29,"DEN",14,14,30.6,5.1,11.5,0.441,1.7,4.6,0.375,3.4,6.9,0.485,1.9,2.2,0.871,0.4,2.9,3.2,1.6,0.4,0.1,0.6,2.1,13.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"5","Alexis Ajinca","C",26,"NOP",10,4,12.7,1.8,2.7,0.667,0,0,NA,1.8,2.7,0.667,1.2,1.5,0.8,1.1,2.5,3.6,0.3,0.1,0.4,1.1,2.8,4.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"6","Cole Aldrich","C",26,"NYK",9,0,10.3,1,2.3,0.429,0,0,NA,1,2.3,0.429,0.2,0.2,1,1.1,2.3,3.4,0.7,0.3,0.7,0.4,2.3,2.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"7","LaMarcus Aldridge","PF",29,"POR",13,13,34.8,8.6,18.5,0.467,0.6,1.2,0.533,8,17.3,0.462,4.3,5.1,0.848,2.5,6.2,8.8,2.4,0.5,1.2,1,1.6,22.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"8","Lavoy Allen","PF",25,"IND",14,0,22.6,3.2,6.7,0.479,0,0,NA,3.2,6.7,0.479,0.5,0.6,0.875,3.1,4.5,7.6,1.3,0.3,1,0.7,2.2,6.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"9","Tony Allen","SG",33,"MEM",12,12,26.7,3.1,6.7,0.463,0.1,0.5,0.167,3,6.2,0.486,1.1,1.8,0.619,1.5,3,4.5,1.8,1.9,0.3,1,3.4,7.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"10","Al-Farouq Aminu","SF",24,"DAL",15,0,16.5,2.1,4.4,0.47,0.5,1.7,0.269,1.6,2.7,0.6,0.5,0.9,0.615,0.8,3.4,4.2,0.5,0.7,0.8,0.5,1.7,5.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"11","Louis Amundson","F",32,"CLE",4,0,7.5,0.8,1.3,0.6,0,0,NA,0.8,1.3,0.6,0.3,0.5,0.5,0.5,1.8,2.3,0.5,0.3,0,0.5,1.5,1.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"12","Chris Andersen","C",36,"MIA",9,0,15.8,0.7,1.6,0.429,0,0.1,0,0.7,1.4,0.462,0.9,2,0.444,0.9,2,2.9,0.4,0.4,0.7,0.9,1.4,2.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
