team,bref_team_id_current,color
Atlanta Hawks,ATL,#FF0000
Boston Celtics,BOS,#05854C
Brooklyn Nets,BRK,#000000
Charlotte Hornets,CHA,#1D8CAA
Chicago Bulls,CHI,#D4001F
Cleveland Cavaliers,CLE,#B3121D
Dallas Mavericks,DAL,#0B60AD
Denver Nuggets,DEN,#4B90CD
Detroit Pistons,DET,#00519A
Golden State Warriors,GSW,#FFCC33
Houston Rockets,HOU,#CE1138
Indiana Pacers,IND,#092C57
Los Angeles Clippers,LAC,#EE2944
Los Angeles Lakers,LAL,#4A2583
Memphis Grizzlies,MEM,#7399C6
Miami Heat,MIA,#B62630
Milwaukee Bucks,MIL,#003614
Minnesota Timberwolves,MIN,#50C878
New Orleans Pelicans,NOP,#B4975A
New York Knicks,NYK,#FF7518
Oklahoma City Thunder,OKC,#F05133
Orlando Magic,ORL,#0047AB
Philadelphia 76ers,PHI,#D0103A
Phoenix Suns,PHO,#E65F20
Portland Trail Blazers,POR,#F0163A
Sacramento Kings,SAC,#753BBD
San Antonio Spurs,SAS,#BEC8C9
Toronto Raptors,TOR,#B31B1B
Utah Jazz,UTA,#FF9100
Washington Wizards,WAS,#C60C30
