name,column_name
age,Average Age
arena,arena
ast,Assists PG
attendance,Total Attendance
blk,Blocks PG
bref_id,bref_id
bref_team_id,bref_team_id
bref_team_id_current,bref_team_id_current
bref_team_season_url,bref_team_season_url
color,color
conference,Conference
conference_rank,Conference Rank
current_team,current_team
drb,DREB PG
drb.,DREB %
drtg,Defensive Rating
efg.,Effective FG %
efg..1,Opp. Effective FG %
fg,FG %
fg.,FG %
fga,FGA PG
ft,FT PG
ft.,FT %
ft.fga,FTs per FGA
ft.fga.1,Opp. FTs per FGA
fta,FTA PG
ftr,FT Attempt Rate
g,Games Played
games_back,Games Back Division
league_champion,NBA Champion
losses,Losses
mov,Victory Margin
mp,Total Min Played
nba_team_imageURL,nba_team_imageURL
opp_pts.g,Opp. PPG
orb,OREB PG
orb.,OREB %
ortg,Offensive Rating
pace,Possesions Per 48 Min
pf,Fouls PG
pl,Pythagorean L
playoff_team,Playoff Team
point_differential,Point Difference
pts,points
pts.g,Points PG
pw,Pythagorean W
season,season_id
season_end,Season
sos,Schedule Strength
srs,Simple Rating Sys
stl,Steals PG
team,team
tov,TOVs PG
tov.,TOVs per 100 Poss
tov..1,Opp. TOVs per 100 Poss
trb,TRB PG
ts.,True Shooting %
win_pct,Win %
wins,Total Wins
X2p,2PTers PG
X2p.,2PT %
X2pa,2PT Attempts PG
X3p,3PTers PG
X3p.,3PT %
X3pa,3PT Attempts PG
X3par,3PT Attempt Rate
