"team","nba_team_imageURL"
"Atlanta Hawks","http://content.sportslogos.net/logos/6/220/full/5mdhgjh3aa92kih09pgi.gif"
"Baltimore Bullets","http://content.sportslogos.net/logos/6/589/full/5601.gif"
"Boston Celtics","http://content.sportslogos.net/logos/6/220/full/5mdhgjh3aa92kih09pgi.gif"
"Brooklyn Nets","http://content.sportslogos.net/logos/6/3786/full/137_brooklyn-nets-primary-2013.gif"
"Buffalo Braves","http://content.sportslogos.net/logos/6/253/full/5451.gif"
"Capital Bullets","http://content.sportslogos.net/logos/6/588/full/5602.gif"
"Charlotte Bobcats","http://content.sportslogos.net/logos/6/258/full/456_charlotte-bobcats-primary-2013.gif"
"Charlotte Hornets","http://content.sportslogos.net/logos/6/5120/full/1926_charlotte__hornets_-primary-2015.png"
"Chicago Bulls","http://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.gif"
"Chicago Packers","http://content.sportslogos.net/logos/6/590/full/5598.gif"
"Chicago Zephyrs","http://content.sportslogos.net/logos/6/251/full/3686juybgh18am0tf3nvv7hfg.gif"
"Cincinnati Royals","http://content.sportslogos.net/logos/6/247/full/5380.gif"
"Cleveland Cavaliers","http://content.sportslogos.net/logos/6/222/full/e4701g88mmn7ehz2baynbs6e0.gif"
"Dallas Mavericks","http://content.sportslogos.net/logos/6/228/full/ifk08eam05rwxr3yhol3whdcm.gif"
"Denver Nuggets","http://content.sportslogos.net/logos/6/229/full/xeti0fjbyzmcffue57vz5o1gl.gif"
"Detroit Pistons","http://content.sportslogos.net/logos/6/223/full/3079.gif"
"Fort Wayne Pistons","http://content.sportslogos.net/logos/6/244/full/4953.gif"
"Golden State Warriors","http://content.sportslogos.net/logos/6/235/full/qhhir6fj8zp30f33s7sfb4yw0.png"
"Houston Rockets","http://content.sportslogos.net/logos/6/230/full/8xe4813lzybfhfl14axgzzqeq.gif"
"Indiana Pacers","http://content.sportslogos.net/logos/6/224/full/3083.gif"
"Kansas City Kings","http://content.sportslogos.net/logos/6/248/full/5383.png"
"Kansas City-Omaha Kings","http://content.sportslogos.net/logos/6/2688/full/5382.png"
"Los Angeles Clippers","http://content.sportslogos.net/logos/6/236/full/bvv028jd1hhr8ee8ii7a0fg4i.gif"
"Los Angeles Lakers","http://content.sportslogos.net/logos/6/237/full/uig7aiht8jnpl1szbi57zzlsh.gif"
"Memphis Grizzlies","http://content.sportslogos.net/logos/6/231/full/793.gif"
"Miami Heat","http://content.sportslogos.net/logos/6/214/full/burm5gh2wvjti3xhei5h16k8e.gif"
"Milwaukee Bucks","http://content.sportslogos.net/logos/6/225/full/0295onf2c4xsbfsxye6i.gif"
"Milwaukee Hawks","http://content.sportslogos.net/logos/6/242/full/5659.gif"
"Minneapolis Lakers","http://content.sportslogos.net/logos/6/245/full/ehdguza6e3dn3h2ay4cbulnpn.gif"
