bref_team_id_current,team,nba_team_imageURL,bref_team_id,color,
ATL,Atlanta Hawks,http://content.sportslogos.net/logos/6/220/full/5mdhgjh3aa92kih09pgi.gif,ATL,#FF0000,
ATL,St. Louis Hawks,http://content.sportslogos.net/logos/6/243/full/lbr7pmgzcio7uqdwkwxch8l30.gif,STL,#FF0000,
ATL,Milwaukee Hawks,http://content.sportslogos.net/logos/6/242/full/5659.gif,MLH,#FF0000,
ATL,Tri-Cities Blackhawks,http://content.sportslogos.net/logos/6/1124/full/5658.gif,TRI,#FF0000,
BOS,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/slhg02hbef3j1ov4lsnwyol5o.gif,BOS,#05854C,
BRK,New York Nets,http://content.sportslogos.net/logos/6/1428/full/5975.gif,NYN,#000000,
BRK,Brooklyn Nets,http://content.sportslogos.net/logos/6/3786/full/137_brooklyn-nets-primary-2013.gif,BRK,#000000,
BRK,New Jersey Nets,http://content.sportslogos.net/logos/6/215/full/2hh70mg3h40yl41tzfpn3gha2.gif,NJN,#000000,
CHA,Charlotte Hornets,http://content.sportslogos.net/logos/6/256/full/3097.gif,CHO,#1D8CAA,
CHA,Charlotte Hornets,http://content.sportslogos.net/logos/6/5120/full/1926_charlotte__hornets_-primary-2015.png,CHH,#1D8CAA,
CHA,Charlotte Bobcats,http://content.sportslogos.net/logos/6/258/full/456_charlotte-bobcats-primary-2013.gif,CHA,#1D8CAA,
CHI,Chicago Bulls,http://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.gif,CHI,#D4001F,
CLE,Cleveland Cavaliers,http://content.sportslogos.net/logos/6/222/full/e4701g88mmn7ehz2baynbs6e0.gif,CLE,#B3121D,
DAL,Dallas Mavericks,http://content.sportslogos.net/logos/6/228/full/ifk08eam05rwxr3yhol3whdcm.gif,DAL,#0B60AD,
DEN,Denver Nuggets,http://content.sportslogos.net/logos/6/229/full/xeti0fjbyzmcffue57vz5o1gl.gif,DEN,#4B90CD,
DET,Fort Wayne Pistons,http://content.sportslogos.net/logos/6/244/full/4953.gif,FTW,#00519A,
DET,Detroit Pistons,http://content.sportslogos.net/logos/6/223/full/3079.gif,DET,#00519A,
GSW,Philadelphia Warriors,http://content.sportslogos.net/logos/6/249/full/5509.gif,PHW,#FFCC33,
GSW,Golden State Warriors,http://content.sportslogos.net/logos/6/235/full/qhhir6fj8zp30f33s7sfb4yw0.png,GSW,#FFCC33,
GSW,San Francisco Warriors,http://content.sportslogos.net/logos/6/1429/full/5972.gif,SFW,#FFCC33,
HOU,San Diego Rockets,http://content.sportslogos.net/logos/6/252/full/4788.gif,SDR,#CE1138,
HOU,Houston Rockets,http://content.sportslogos.net/logos/6/230/full/8xe4813lzybfhfl14axgzzqeq.gif,HOU,#CE1138,
IND,Indiana Pacers,http://content.sportslogos.net/logos/6/224/full/3083.gif,IND,#092C57,
LAC,Buffalo Braves,http://content.sportslogos.net/logos/6/253/full/5451.gif,BUF,#EE2944,
LAC,San Diego Clippers,http://content.sportslogos.net/logos/6/254/full/5465.gif,SDC,#EE2944,
LAC,Los Angeles Clippers,http://content.sportslogos.net/logos/6/236/full/bvv028jd1hhr8ee8ii7a0fg4i.gif,LAC,#EE2944,
LAL,Minneapolis Lakers,http://content.sportslogos.net/logos/6/245/full/ehdguza6e3dn3h2ay4cbulnpn.gif,MNL,#4A2583,
LAL,Los Angeles Lakers,http://content.sportslogos.net/logos/6/237/full/uig7aiht8jnpl1szbi57zzlsh.gif,LAL,#4A2583,
MEM,Vancouver Grizzlies,http://content.sportslogos.net/logos/6/257/full/7hc558rh9vls8j6fam4hly46n.gif,VAN,#7399C6,
MEM,Memphis Grizzlies,http://content.sportslogos.net/logos/6/231/full/793.gif,MEM,#7399C6,
MIA,Miami Heat,http://content.sportslogos.net/logos/6/214/full/burm5gh2wvjti3xhei5h16k8e.gif,MIA,#B62630,
MIL,Milwaukee Bucks,http://content.sportslogos.net/logos/6/225/full/0295onf2c4xsbfsxye6i.gif,MIL,#003614,
MIN,Minnesota Timberwolves,http://content.sportslogos.net/logos/6/232/full/zq8qkfni1g087f4245egc32po.gif,MIN,#50C878,
NOP,New Orleans Pelicans,http://content.sportslogos.net/logos/6/4962/full/2681_new_orleans_pelicans-primary-2014.png,NOP,#B4975A,
NOP,New Orleans/Oklahoma City Hornets,http://content.sportslogos.net/logos/6/226/full/811.gif,NOK,#B4975A,
NOP,New Orleans Hornets,http://content.sportslogos.net/logos/6/226/full/legngwiheii4eld1u0agakxhc.gif,NOH,#B4975A,
NYK,New York Knicks,http://content.sportslogos.net/logos/6/216/full/2nn48xofg0hms8k326cqdmuis.gif,NYK,#FF7518,
OKC,Oklahoma City Thunder,http://content.sportslogos.net/logos/6/2687/full/khmovcnezy06c3nm05ccn0oj2.gif,OKC,#F05133,
OKC,Seattle SuperSonics,http://content.sportslogos.net/logos/6/241/full/cxe7hh6lwjtpdhcoyiuc064sp.gif,SEA,#F05133,
ORL,Orlando Magic,http://content.sportslogos.net/logos/6/217/full/wd9ic7qafgfb0yxs7tem7n5g4.gif,ORL,#0047AB,
PHI,http://content.sportslogos.net/logos/6/218/full/qlpk0etqwelv8artgc7tvqefu.gif,http://content.sportslogos.net/logos/6/249/full/5509.gif,PHI,#D0103A,
PHI,Syracuse Nationals,http://content.sportslogos.net/logos/6/250/full/4600.gif,SYR,#D0103A,
PHO,Phoenix Suns,http://content.sportslogos.net/logos/6/238/full/4370_phoenix_suns-primary-2014.png,PHO,#E65F20,
POR,Portland Trail Blazers,http://content.sportslogos.net/logos/6/239/full/bahmh46cyy6eod2jez4g21buk.gif,POR,#F0163A,
SAC,Cincinnati Royals,http://content.sportslogos.net/logos/6/247/full/5380.gif,CIN,#753BBD,
SAC,Kansas City-Omaha Kings,http://content.sportslogos.net/logos/6/2688/full/5382.png,KCO,#753BBD,
SAC,Kansas City Kings,http://content.sportslogos.net/logos/6/248/full/5383.png,KCK,#753BBD,
SAC,Sacramento Kings,http://content.sportslogos.net/logos/6/240/full/832.gif,SAC,#753BBD,
SAC,Rochester Royals,http://content.sportslogos.net/logos/6/246/full/5377.gif,ROC,#753BBD,
SAS,San Antonio Spurs,http://content.sportslogos.net/logos/6/233/full/827.gif,SAS,#BEC8C9,
TOR,Toronto Raptors,http://content.sportslogos.net/logos/6/227/full/yfypcwqog6qx8658sn5w65huh.gif,TOR,#B31B1B,
UTA,Utah Jazz,http://content.sportslogos.net/logos/6/234/full/m2leygieeoy40t46n1qqv0550.gif,UTA,#FF9100,
UTA,New Orleans Jazz,http://content.sportslogos.net/logos/6/255/full/5776.gif,NOJ,#FF9100,
WAS,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/full/5601.gif,BAL,#C60C30,
WAS,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/full/5601.gif,BLB,#C60C30,
WAS,Capital Bullets,http://content.sportslogos.net/logos/6/588/full/5602.gif,CAP,#C60C30,
WAS,Washington Capitols,http://content.sportslogos.net/logos/6/588/full/5602.gif,WSC,#C60C30,
WAS,Washington Wizards,http://content.sportslogos.net/logos/6/219/full/b3619brnphtx65s2th4p9eggf.gif,WAS,#C60C30,
WAS,Chicago Packers,http://content.sportslogos.net/logos/6/590/full/5598.gif,CHP,#C60C30,
WAS,Chicago Zephyrs,http://content.sportslogos.net/logos/6/251/full/3686juybgh18am0tf3nvv7hfg.gif,CHZ,#C60C30,
WAS,Washington Bullets,http://content.sportslogos.net/logos/6/587/full/emb4en3mu4f9hr0hhhkfkapxc.gif,WSB,#C60C30,
